Timestamp,Runnable,Swap-in,pswitch,syscall,read,write,fork,exec,sem,msg
07-DEC-2012 13:20:08,2.0,-1.0,4310.6,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:09,1.0,-1.0,5059.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:10,4.0,-1.0,3581.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:11,1.0,-1.0,3242.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:12,2.0,-1.0,3725.1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:13,1.0,-1.0,4222.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:14,1.0,-1.0,3541.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:15,1.0,-1.0,3425.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:16,3.0,-1.0,4435.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:17,6.0,-1.0,4855.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:18,2.0,-1.0,3666.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:19,2.0,-1.0,4598.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:20,4.0,-1.0,3707.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:21,1.0,-1.0,3409.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:22,2.0,-1.0,3653.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:23,1.0,-1.0,3873.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:24,1.0,-1.0,3769.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:25,2.0,-1.0,4754.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:26,2.0,-1.0,4596.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:27,2.0,-1.0,3816.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:28,2.0,-1.0,4023.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:29,3.0,-1.0,3010.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:30,2.0,-1.0,3266.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:31,2.0,-1.0,4141.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:32,3.0,-1.0,3780.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:33,1.0,-1.0,3222.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:34,2.0,-1.0,5779.4,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:35,1.0,-1.0,4383.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:36,1.0,-1.0,3246.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:37,2.0,-1.0,3532.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
